query_id,query
mq-001,space adventure survival
mq-002,heist team plan
mq-003,detective murder investigation
mq-004,robot artificial intelligence
mq-005,war soldiers battle
mq-006,prison escape freedom
mq-007,family animated children
mq-008,mafia crime gangster
mq-009,time travel paradox
mq-010,shark ocean attack
mq-011,boxing champion underdog
mq-012,music band musician
mq-013,horror haunted supernatural
mq-014,courtroom jury trial
mq-015,dinosaur island park
mq-016,India village cricket
mq-017,love story romance couple
mq-018,alien invasion earth
mq-019,drug cartel mexico
mq-020,jazz piano club
mq-021,feel-good movie for a rainy day
mq-022,movie that makes you think about life differently
mq-023,underdog story overcoming impossible odds
mq-024,movie about loneliness and human connection
mq-025,visually stunning fantasy world
